ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
5.0,5.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
4.0,4.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
8.0,9.0,-0.125
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
7.0,8.0,-0.14285714285714285
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
6.0,6.9999999999999245,-0.16666666666665408
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
7.0,7.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
6.0,6.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
5.0,5.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
4.0,4.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
3.0,3.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
2.0,2.0,0.0
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
6.0,7.0,-0.16666666666666666
ObjectiveValue,BestRelaxation,Gap
0,0,1.3
ObjectiveValue,BestRelaxation,Gap
